Índice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
"259,Antioquia,2017,2,27,Choque,Sin causa especifica,Normal,lunes,Recta,Plano,Media Ladera Derecha,"""",0,0,0"
"262,Antioquia,2017,4,4,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
"263,Antioquia,2017,3,16,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"264,Antioquia,2017,7,29,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"265,Antioquia,2017,4,6,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"266,Antioquia,2017,3,3,Choque,Sin causa especifica,Lluvia,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"267,Antioquia,2017,2,26,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"268,Antioquia,2017,4,7,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,0,0"
"269,Antioquia,2017,3,11,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media Ladera Derecha,"""",0,1,0"
"270,Antioquia,2017,5,24,Choque,Sin causa especifica,Viento,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"271,Antioquia,2017,3,11,Choque,Sin causa especifica,Lluvia,sabado,Recta,Montañoso,Media Ladera Derecha,"""",0,1,0"
"272,Antioquia,2017,3,7,Choque,Sin causa especifica,Lluvia,martes,Curva Derecha,Montañoso,Media Ladera Derecha,"""",0,4,0"
"273,Antioquia,2017,3,18,Volcamiento,Sin causa especifica,Normal,sabado,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"276,Antioquia,2017,2,24,Choque,Sin causa especifica,Lluvia,viernes,Curva Derecha,Plano,Media ladera Izquierda,"""",0,2,0"
"277,Antioquia,2017,7,31,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,5,0"
279,Antioquia,2019,1,7,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0,1
"281,Antioquia,2017,7,22,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
285,Antioquia,2019,1,27,Choque,Sin causa especifica,Normal,domingo,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0,0
"286,Antioquia,2017,7,19,Choque,Sin causa especifica,Normal,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
