Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
103,2018,6,26,Quindío,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,1
104,2018,6,26,Santander,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,1,0
105,2018,1,4,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,3,0
106,2017,8,12,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
107,2017,2,16,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
108,2017,2,15,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
109,2018,3,4,Norte de Santander,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,1,0,0
110,2018,7,31,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
111,2018,3,5,Caldas,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
112,2019,2,11,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
113,2018,8,3,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
114,2017,9,9,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Plano,Media ladera Izquierda,0,1,0
115,2018,8,21,Quindío,Choque,Sin causa especifica,Curva Derecha,Plano,Terraplen,0,0,0
116,2018,4,18,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
117,2017,3,7,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
118,2018,3,1,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
119,2018,10,20,Quindío,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
120,2018,8,23,Quindío,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
